,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0,Halsey,Gasoline,199593,2020-05-12 08:49:00,0.731,0.58,10,-7.328,0,0.0399,0.223,0.0,0.129,0.319,120.001,2IO7yf562c1zLzpanal1DT,4
1,Dua Lipa,IDGAF,150004,2020-05-24 15:36:00,0.782,0.728,5,-5.93,1,0.0768,0.427,0.0,0.25,0.876,97.975,4ZUpTMKPYFTfJqamWFU9Zv,4
2,Dua Lipa,IDGAF,213981,2020-05-28 09:21:00,0.782,0.728,5,-5.93,1,0.0768,0.427,0.0,0.25,0.876,97.975,4ZUpTMKPYFTfJqamWFU9Zv,4
3,Jack & Jack,No One Compares To You,177858,2020-05-28 09:25:00,0.7,0.747,1,-6.044,1,0.0436,0.127,0.0,0.0941,0.629,111.941,4cZ3UsiKd1kUQIaq4BFIj2,4
4,Why Don't We,Big Plans,146083,2020-05-28 09:27:00,0.693,0.604,11,-5.279,1,0.0427,0.0668,0.0,0.114,0.651,75.014,448hSkxDU1sUQQauBWZVcC,4
5,Why Don't We,Big Plans,21389,2020-05-28 13:43:00,0.693,0.604,11,-5.279,1,0.0427,0.0668,0.0,0.114,0.651,75.014,448hSkxDU1sUQQauBWZVcC,4
6,Zara Larsson,Ruin My Life,184467,2020-05-28 13:50:00,0.665,0.699,11,-5.265,1,0.0578,0.423,0.0,0.0969,0.585,124.896,5tAa8Uaqr4VvA3693mbIhU,4
7,The Chainsmokers,Who Do You Love,206675,2020-05-28 13:54:00,0.68,0.411,9,-9.761,1,0.434,0.0336,0.0,0.0889,0.161,193.131,7ngdkrVQPgP3AoIxUrTpHT,4
8,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",149984,2020-05-28 13:56:00,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,5Gu0PDLN4YJeW75PpBSg9p,4
9,Why Don't We,Unbelievable,178396,2020-05-28 13:59:00,0.553,0.906,11,-4.311,1,0.0452,0.014,0.0,0.336,0.468,105.027,2Y2nV089OQhsGTz2xdlvDb,4
10,Lauv,"fuck, i'm lonely (with Anne-Marie)",190612,2020-05-28 14:02:00,0.805,0.558,9,-6.46,1,0.0648,0.482,0.0,0.0618,0.68,94.997,7elRvorDP9KEOHIisFgrJG,4
11,Jonas Blue,Polaroid,162184,2020-05-28 14:17:00,0.423,0.603,1,-6.832,1,0.0494,0.516,1.86e-06,0.238,0.258,155.207,6Ng999MKVY9ikd8FtGaNnz,4
12,Shawn Mendes,If I Can't Have You,146959,2020-05-29 10:35:00,0.691,0.823,2,-4.197,1,0.0622,0.489,0.0,0.134,0.87,123.943,2bT1PH7Cw3J9p3t7nlXCdh,4
13,Shawn Mendes,If I Can't Have You,5654,2020-05-29 12:55:00,0.691,0.823,2,-4.197,1,0.0622,0.489,0.0,0.134,0.87,123.943,2bT1PH7Cw3J9p3t7nlXCdh,4
14,Zedd,The Middle,163745,2020-05-29 12:58:00,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,6GG73Jik4jUlQCkKg9JuGO,4
15,The Chainsmokers,Takeaway,185922,2020-05-29 13:01:00,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1,3g0mEQx3NTanacLseoP0Gw,4
16,Nick Jonas,Right Now,185815,2020-05-29 13:04:00,0.645,0.78,8,-5.165,1,0.0319,0.218,0.0,0.0919,0.372,120.008,1dQQ2QlnvXUehsRUrukKmf,4
17,Anne-Marie,2002,181153,2020-05-29 13:07:00,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,2BgEsaKNfHUdlh97KmvFyo,4
18,Marshmello,Here With Me,153600,2020-05-29 13:10:00,0.575,0.45,4,-9.306,1,0.0259,0.531,6.59e-05,0.124,0.263,132.039,5LrN7yUQAzvthd4QujgPFr,4
19,Martin Jensen,Nobody,207480,2020-05-29 13:14:00,0.561,0.717,8,-5.72,1,0.0381,0.458,0.0,0.138,0.455,79.993,0W7KIc2GSB9suYQAaMZ9rF,4
20,Mark Ronson,Find U Again (feat. Camila Cabello),171838,2020-05-29 13:17:00,0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,1HpzOCZbNWzxvvXfSGtSrX,4
21,5 Seconds of Summer,Youngblood,201152,2020-05-29 13:20:00,0.597,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.276,2iUXsYOEPhVqEBwsqP70rE,4
22,Selena Gomez,Back To You,189227,2020-05-29 13:23:00,0.439,0.667,5,-7.055,1,0.0612,0.566,0.0,0.102,0.558,148.746,3CyrVEkcaJdSh8cM8IcRdD,4
23,R3HAB,Rumors,130538,2020-05-29 13:25:00,0.673,0.706,8,-8.4,1,0.115,0.0603,2.75e-06,0.426,0.516,74.972,7wOqBOryVGD3nqDUihDSwL,4
24,Jonas Blue,Younger,181983,2020-05-29 13:29:00,0.661,0.562,0,-8.114,1,0.0344,0.07,1.71e-06,0.132,0.512,111.03,3BprrMTQ3IlFvHW8oFTTQ1,4
25,Katy Perry,Never Really Over,221123,2020-05-29 13:33:00,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,5PYQUBXc7NYeI1obMKSJK0,4
26,Marshmello,Be Kind (with Halsey),168561,2020-05-29 13:36:00,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.992,3Z8FwOEN59mRMxDCtb8N0A,4
27,Jonas Brothers,Sucker,178296,2020-05-29 13:39:00,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,4dASQiO1Eoo3RJvt74FtXB,4
28,Ed Sheeran,Beautiful People (feat. Khalid),176352,2020-05-29 13:42:00,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,4evmHXcjt3bTUHD1cvny97,4
29,Ellie Goulding,Hate Me (with Juice WRLD),180990,2020-05-29 13:45:00,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,6kls8cSlUyHW2BUOkDJIZE,4
30,Jax Jones,Harder (with Bebe Rexha),157685,2020-05-29 13:48:00,0.907,0.834,5,-3.028,0,0.0727,0.0895,0.0,0.154,0.75,104.019,5RgBnDtHKFHgtVdqabjGE3,4
31,Virginia To Vegas,Just Friends,154753,2020-05-29 13:50:00,0.639,0.685,9,-4.571,0,0.049,0.105,0.0,0.143,0.363,110.041,6tB4XVKceo2307SSWXaO0y,4
32,Halsey,Graveyard,175983,2020-05-29 13:53:00,0.602,0.386,8,-12.465,1,0.0379,0.57,0.000421,0.0919,0.164,145.016,2vXSHAPCNpWZ7DNFDkEDMz,4
33,Shawn Mendes,Lost In Japan - Remix,196038,2020-05-29 14:06:00,0.706,0.855,10,-5.378,1,0.221,0.0898,0.0,0.347,0.299,107.184,575NJxNUVDqwJGdzBrlLbv,4
34,Alessia Cara,Scars To Your Beautiful,172831,2020-05-29 14:09:00,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,42ydLwx4i5V49RXHOozJZq,4
35,OneRepublic,Rescue Me,143829,2020-05-29 14:12:00,0.761,0.606,11,-7.742,0,0.0424,0.157,0.0,0.574,0.646,121.038,37LNNQNbL1YLyutBG6aWRx,4
36,Marshmello,Happier,211411,2020-05-29 14:15:00,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,7BqHUALzNBTanL6OvsqmC1,4
37,Bazzi,Beautiful (feat. Camila Cabello),157196,2020-05-29 14:18:00,0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027,4VUwkH455At9kENOfzTqmF,4
38,Justin Bieber,Intentions (feat. Quavo),189441,2020-05-29 14:24:00,0.806,0.546,9,-6.637,1,0.0579,0.298,0.0,0.102,0.875,147.988,4umIPjkehX1r7uhmGvXiSV,4
39,Alessia Cara,Ready,167416,2020-05-29 14:27:00,0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,2yLa0QULdQr0qAIvVwN6B5,4
40,Mabel,Mad Love,155934,2020-05-29 14:29:00,0.622,0.802,0,-2.992,0,0.15,0.675,0.0,0.124,0.602,197.588,0jJNpY616X5KgEWRLuxLFi,4
41,Liam Payne,Stack It Up (feat. A Boogie Wit da Hoodie),159655,2020-05-29 14:32:00,0.743,0.812,7,-3.069,1,0.132,0.153,0.0,0.0642,0.606,100.047,1xU2QZ40MY4Ex2pfczZa9U,4
42,Niall Horan,No Judgement,170400,2020-05-29 14:34:00,0.723,0.726,1,-3.835,0,0.0473,0.0564,0.000129,0.057,0.962,100.051,2sGF7DBXvL2GjkbG606m1G,4
43,Galantis,Bones (feat. OneRepublic),197200,2020-05-29 14:38:00,0.658,0.804,0,-5.735,1,0.0377,0.00463,0.0,0.178,0.508,120.047,1pfgsjmxVZhoZpeDx6POKv,4
44,Little Mix,Woman Like Me (feat. Nicki Minaj),212212,2020-05-29 14:42:00,0.754,0.854,5,-3.449,0,0.0608,0.177,0.0,0.0808,0.8,75.002,222B3aljXx6fFwKmFjuBED,4
