,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
2,Dua Lipa,IDGAF,213981,2020-05-28 09:21:00,0.782,0.728,5,-5.93,1,0.0768,0.427,0.0,0.25,0.876,97.975,4ZUpTMKPYFTfJqamWFU9Zv,4
22,Selena Gomez,Back To You,189227,2020-05-29 13:23:00,0.439,0.667,5,-7.055,1,0.0612,0.566,0.0,0.102,0.558,148.746,3CyrVEkcaJdSh8cM8IcRdD,4
28,Ed Sheeran,Beautiful People (feat. Khalid),176352,2020-05-29 13:42:00,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,4evmHXcjt3bTUHD1cvny97,4
45,Ed Sheeran,I Don't Care (with Justin Bieber),207859,2020-05-29 14:45:00,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,3HVWdVOQ0ZA45FuZGSfvns,4
46,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),180514,2020-05-29 14:48:00,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,2Rk4JlNc2TPmZe2af99d45,4
48,Sam Smith,I’m Ready (with Demi Lovato),198416,2020-05-29 14:55:00,0.501,0.674,5,-6.363,1,0.0408,0.00346,3.56e-05,0.282,0.152,155.051,1fipvP2zmef6vN2IwXfJhY,4
58,Jawsh 685,Laxed - Siren Beat,2577,2020-05-29 17:14:00,0.736,0.62,0,-8.481,0,0.11,0.0577,0.692,0.318,0.959,150.026,3BJiF37kmX4HCfYSO7qBnQ,4
63,Joshua Moriarty,Savage Love,15714,2020-05-30 06:52:00,0.795,0.48,3,-8.556,1,0.0688,0.243,0.0,0.271,0.723,149.919,5T490vvoFNU6psep0NPmxs,4
65,Tungevaag,Wolf,133850,2020-05-30 06:58:00,0.445,0.907,11,-3.894,0,0.0773,0.00161,0.0,0.403,0.71,165.069,4WXFDVe299Po8ih6Np54n2,4
80,The Chainsmokers,Roses,226738,2020-05-30 13:51:00,0.613,0.6,8,-7.097,1,0.154,0.166,0.0,0.117,0.532,147.059,5YAP8zpqj1eIX88makBjDe,4
81,Sofia Carson,I Luv U (with R3HAB) - R3HAB VIP Remix,173034,2020-05-30 13:54:00,0.583,0.754,1,-7.216,1,0.178,0.148,8.24e-05,0.268,0.593,116.622,3wgHRiN7KQHoKGlUpEbXH2,4
82,Steve Aoki,I Love My Friends,185624,2020-05-30 13:57:00,0.758,0.866,9,-3.045,1,0.0681,0.0371,1.87e-05,0.178,0.506,128.011,50lvjbLuOT0pXW8JFLXGqd,4
83,DVBBS,Need U,219520,2020-05-30 14:02:00,0.718,0.596,11,-8.195,0,0.053,0.073,0.0,0.0796,0.475,87.977,5FkBoG7xkb0pPkaO8rS5td,4
101,Cheat Codes,Let Me Hold You (Turn Me On),162425,2020-05-31 14:44:00,0.681,0.774,1,-3.167,0,0.0787,0.0992,0.0,0.35,0.267,102.924,3aLWuWKHaTV4Ok7LKvXRYn,4
103,Matt Simons,Catch & Release - Deepend Remix,155726,2020-05-31 14:50:00,0.838,0.536,1,-8.645,0,0.0478,0.555,0.000376,0.111,0.107,104.988,11BAVEGi1ivJ6JWLqKUNrZ,4
161,AJ Mitchell,All My Friends,172787,2020-06-01 07:04:00,0.681,0.521,0,-5.849,1,0.141,0.12,8.41e-05,0.108,0.181,94.997,6TaqooOXAEcijL6G1AWS2K,4
162,Julia Michaels,17,38793,2020-06-01 07:05:00,0.707,0.52,6,-7.572,0,0.0749,0.204,0.0,0.408,0.491,90.012,3iyxVqVFcGPYd96fkunrAk,4
163,Matoma,Losing It Over You (feat. Ayme),116191,2020-06-01 07:10:00,0.42,0.658,6,-6.72,1,0.094,0.597,0.0,0.103,0.196,94.93,03csMcRh5OEeBQbSxc4xla,4
167,Galantis,In My Head,96025,2020-06-01 07:23:00,0.632,0.557,5,-5.643,0,0.0422,0.238,0.0,0.155,0.282,159.992,2RJAKIw6nIkgZVsAIKhmqz,4
202,Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,2020-06-02 14:31:00,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,4
205,CNCO,Reggaetón Lento (Remix),188800,2020-06-02 14:42:00,0.624,0.909,4,-3.079,0,0.0745,0.158,0.0,0.0972,0.65,93.982,5YH1A3YttSay4lgAR75tk3,4
206,Christina Aguilera,Your Body,239853,2020-06-02 14:46:00,0.838,0.594,4,-5.695,0,0.113,0.176,0.0,0.0867,0.507,90.038,5y4TDQdYzlT4eoQIPOgNDz,4
208,Sean Paul,No Lie,221176,2020-06-02 14:54:00,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,48QmG1dfvMuYLxMPt7KSRA,4
209,Hilary Duff,So Yesterday,215333,2020-06-02 14:58:00,0.552,0.802,0,-3.799,1,0.0615,0.215,0.0,0.275,0.776,78.21,0J1Wfjo9H3R62yaCuuNDZX,4
212,A.B. Quintanilla III Y Los Kumbia Kings,Na Na Na (Dulce Niña),65265,2020-06-02 15:09:00,0.783,0.794,11,-5.873,0,0.0463,0.434,0.0,0.293,0.968,101.991,6tb7r9qcLBuguz2nG6fpBu,4
215,Sofía Reyes,Muevelo (feat. Wisin),212204,2020-06-02 15:20:00,0.605,0.872,8,-2.361,0,0.0431,0.0427,0.0,0.18,0.886,127.117,5Ra1n0XZPneh64gdF3Jv0g,4
216,Shakira,"Whenever, Wherever",196160,2020-06-02 15:23:00,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2lnzGkdtDj5mtlcOW2yRtG,4
217,Christina Aguilera,Fighter,55610,2020-06-02 15:25:00,0.521,0.835,8,-3.717,0,0.0728,0.0259,0.00011,0.091,0.482,160.031,4gi2kndWShH9kDbb9kBfs6,4
218,The Pussycat Dolls,Don't Cha,348368,2020-06-02 15:31:00,0.88,0.637,1,-3.493,1,0.0893,0.0051,2.37e-06,0.0959,0.568,119.979,1gZ7i4qxXkHZb1r6eioaAP,4
219,Fanny Lu,Celos,114776,2020-06-02 15:33:00,0.746,0.703,4,-4.179,0,0.107,0.352,0.0,0.331,0.667,166.044,33zcmmElV1YbRZe57biUjg,4
222,Britney Spears,Stronger,1443,2020-06-02 15:38:00,0.617,0.716,1,-7.858,1,0.136,0.0056,0.0,0.408,0.496,104.014,0j2T0R9dR9qdJYsB7ciXhf,4
224,Daddy Yankee,Dura,198126,2020-06-03 03:48:00,0.783,0.84,1,-3.416,1,0.051,0.174,0.0,0.412,0.839,95.001,6KuqAtoeVzxAYOaMveLNpH,4
225,Prince Royce,Back It Up (feat. Jennifer Lopez & Pitbull) - Video Version,200920,2020-06-03 03:51:00,0.724,0.78,1,-6.772,1,0.0803,0.139,0.0,0.0371,0.771,104.024,6Y0mJNAcx8CDBOhSy6icFP,4
230,Natalie Taylor,Surrender - Martin Jensen Remix,195483,2020-06-03 12:07:00,0.678,0.579,8,-7.174,1,0.0313,0.0652,0.000178,0.109,0.326,124.035,57YMEPQhEy5F5Q715mW0n8,4
234,Robin Schulz,Heatwave (feat. Akon),91910,2020-06-03 15:31:00,0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936,2KMJ5CoxY4ECG9TZyNWmpv,4
269,Alex Aiono,One Dance/Hasta El Amanecer - Mashup,155560,2020-06-04 10:19:00,0.881,0.54,6,-8.065,0,0.0844,0.0593,0.0,0.113,0.886,104.966,6WS2Wb3H4gXTvJ0ntagxqu,4
277,Arijit Singh,Sooraj Dooba Hain,264854,2020-06-04 10:57:00,0.616,0.75,2,-4.629,1,0.0594,0.172,0.0,0.137,0.434,128.051,48pyUxg9RYuwie5M9R7qRn,4
296,Boyce Avenue,Tears In Heaven,280652,2020-06-04 15:18:00,0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,1kgdslQYmeTR4thk9whoRw,4
297,John Mayer,Slow Dancing in a Burning Room,242000,2020-06-04 15:23:00,0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,2jdAk8ATWIL3dwT47XpRfu,5
298,Sting,Shape Of My Heart,279226,2020-06-04 15:28:00,0.537,0.372,6,-10.08,0,0.0331,0.693,0.00107,0.083,0.244,83.94,6CKoWCWAqEVWVjpeoJXyNH,4
299,John Denver,"Take Me Home, Country Roads",150004,2020-06-04 15:30:00,0.462,0.395,9,-9.376,1,0.0264,0.758,0.0,0.121,0.625,82.259,1YYhDizHx7PnDhAhko6cDS,4
308,Mariana BO,Red Eagle,41826,2020-06-05 05:31:00,0.637,0.499,3,-9.527,0,0.157,0.362,0.0,0.104,0.648,159.865,3x3WSbJUwAWVpvA2U6B3dC,4
317,ItaloBrothers,Ocean Breeze,190796,2020-06-05 05:59:00,0.486,0.488,9,-7.701,1,0.0373,0.914,3.25e-06,0.311,0.261,100.1,18HdXwnbRma313PJ9iuuLy,4
323,Sick Individuals,Humans (Let Me Love You),161048,2020-06-05 10:45:00,0.586,0.841,7,-3.663,1,0.0593,0.201,1.21e-06,0.126,0.376,128.123,4QtblWjS1ZLNnA4xVqKHvi,4
337,R.I.O.,Komodo (Hard Nights) - FSDW Remix,172717,2020-06-05 14:44:00,0.628,0.798,11,-2.95,0,0.0324,0.0312,0.00107,0.107,0.402,125.979,13p25R3V9A2v2nJnLwNKS8,4
342,Mike Williams,Day Or Night,174374,2020-06-06 05:56:00,0.592,0.93,7,-4.088,1,0.0457,0.346,0.0,0.0634,0.445,135.042,090aJIP3mxQVhpwS01j4ya,4
344,Marnik,Alone (feat. Anjulie & Jeffrey Jey) - Club Mix,201044,2020-06-06 06:04:00,0.56,0.934,11,-2.984,1,0.0378,0.00457,3.11e-06,0.297,0.325,134.004,4PclDQ2lYPmIuhj4G3swK1,4
352,W&W,Let The Music Take Control,41071,2020-06-06 06:34:00,0.388,0.971,6,-2.274,0,0.149,0.00143,0.091,0.433,0.175,194.956,2ItO4ZVCtwEHuLL6ygajGM,3
353,Raaban,Try Again (feat. A7S),179552,2020-06-06 06:37:00,0.707,0.856,0,-3.861,0,0.205,0.142,0.0,0.124,0.51,126.914,745LUoE5rQZ51Tz4WnBoNp,4
354,Krewella,Alibi (Far Out Remix),219553,2020-06-06 06:41:00,0.602,0.758,7,-5.261,0,0.068,0.134,0.0,0.0853,0.156,99.896,144VylfhBHydi2xvqy9yw6,4
358,Galantis,We Can Get High (with Yellow Claw),156839,2020-06-06 07:01:00,0.654,0.782,4,-5.179,0,0.0494,0.0668,0.0,0.303,0.349,150.078,3csdDTfByXZQhOYlCHQJRp,4
359,R3HAB,Lullaby - GATTÜSO Remix,222187,2020-06-06 07:04:00,0.494,0.639,1,-6.276,0,0.0324,0.00544,0.0,0.143,0.235,127.997,6fjHnzGvdI1zOwoF4LihFF,4
362,KSHMR,Memories (feat. Sirah) - Radio Edit,185639,2020-06-06 15:49:00,0.519,0.731,8,-5.009,0,0.0504,0.0359,1.33e-05,0.784,0.301,128.066,5drBLK41GUnnWt32JPlexx,4
363,DVBBS,Not Going Home,195186,2020-06-06 15:52:00,0.838,0.859,5,-5.977,1,0.148,0.0341,0.316,0.24,0.517,126.035,6f6hXxp69OVmhfRDwQvLYV,4
367,KSHMR,Lies (feat. Luciana),15853,2020-06-06 18:39:00,0.626,0.929,6,-4.295,0,0.0941,0.0659,6.7e-05,0.286,0.63,75.969,0CNObSo2AxRZS47CGz755m,4
388,Unknown Artist,Unknown Track,0,2020-06-07 13:50:00,0.286,0.00631,8,-42.724,1,0.0282,0.00017,0.0658,0.0615,0.0627,103.36,47FlbrwMWmaaC87mkVbwcZ,3
