,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Must Be Love,0.5,0.875,0,-4.743,1,0.0715,0.0133,0,0.196,0.607,170.019,audio_features,4rYNrM5Yfi7vAs0PF3WnZW,spotify:track:4rYNrM5Yfi7vAs0PF3WnZW,https://api.spotify.com/v1/tracks/4rYNrM5Yfi7vAs0PF3WnZW,https://api.spotify.com/v1/audio-analysis/4rYNrM5Yfi7vAs0PF3WnZW,189608,4
Dance with Me (feat. Thomas Rhett & Young Thug),0.73,0.792,6,-5.33,0,0.13,0.0264,0,0.101,0.745,99.039,audio_features,6wXgnhpmOPEJ7cUweSyy2B,spotify:track:6wXgnhpmOPEJ7cUweSyy2B,https://api.spotify.com/v1/tracks/6wXgnhpmOPEJ7cUweSyy2B,https://api.spotify.com/v1/audio-analysis/6wXgnhpmOPEJ7cUweSyy2B,170158,4
Kawasaki,0.648,0.656,6,-4.31,1,0.54,0.041,0,0.0809,0.351,109.843,audio_features,1IUUMsKE93d3FaOE0OQuXo,spotify:track:1IUUMsKE93d3FaOE0OQuXo,https://api.spotify.com/v1/tracks/1IUUMsKE93d3FaOE0OQuXo,https://api.spotify.com/v1/audio-analysis/1IUUMsKE93d3FaOE0OQuXo,139147,5
On N On (feat. Leony),0.772,0.883,4,-4.494,1,0.0372,0.195,2.87e-05,0.347,0.557,124.078,audio_features,53IKe69OlZPlrDyS98geFO,spotify:track:53IKe69OlZPlrDyS98geFO,https://api.spotify.com/v1/tracks/53IKe69OlZPlrDyS98geFO,https://api.spotify.com/v1/audio-analysis/53IKe69OlZPlrDyS98geFO,151935,4
Now Or Never,0.535,0.707,7,-5.879,0,0.21,0.264,0,0.308,0.784,100.534,audio_features,4KjnaUNYPwGnJjoeTFlt91,spotify:track:4KjnaUNYPwGnJjoeTFlt91,https://api.spotify.com/v1/tracks/4KjnaUNYPwGnJjoeTFlt91,https://api.spotify.com/v1/audio-analysis/4KjnaUNYPwGnJjoeTFlt91,256013,4
Here We Go Again,0.769,0.515,7,-5.981,1,0.287,0.0233,0,0.13,0.208,92.143,audio_features,72QnwdvQfN69gXRaUfJTFL,spotify:track:72QnwdvQfN69gXRaUfJTFL,https://api.spotify.com/v1/tracks/72QnwdvQfN69gXRaUfJTFL,https://api.spotify.com/v1/audio-analysis/72QnwdvQfN69gXRaUfJTFL,232933,4
R.I.P. (feat. Rita Ora & Anitta),0.764,0.752,8,-3.713,0,0.0711,0.18,0,0.0701,0.698,100.066,audio_features,6JqpFboOH2bq9pzaYbkKBn,spotify:track:6JqpFboOH2bq9pzaYbkKBn,https://api.spotify.com/v1/tracks/6JqpFboOH2bq9pzaYbkKBn,https://api.spotify.com/v1/audio-analysis/6JqpFboOH2bq9pzaYbkKBn,187200,4
The Scoop,0.637,0.918,1,-3.662,1,0.266,0.0468,0,0.115,0.808,94.097,audio_features,2nZPwKpV75BQpn9snGy2xG,spotify:track:2nZPwKpV75BQpn9snGy2xG,https://api.spotify.com/v1/tracks/2nZPwKpV75BQpn9snGy2xG,https://api.spotify.com/v1/audio-analysis/2nZPwKpV75BQpn9snGy2xG,163034,4
Show Me Love (America),0.469,0.771,0,-4.304,1,0.04,0.00799,0,0.381,0.427,77.179,audio_features,28n62PUyuEnv5qpX3CLOzq,spotify:track:28n62PUyuEnv5qpX3CLOzq,https://api.spotify.com/v1/tracks/28n62PUyuEnv5qpX3CLOzq,https://api.spotify.com/v1/audio-analysis/28n62PUyuEnv5qpX3CLOzq,207898,3
Crashing (feat. Bahari),0.582,0.681,5,-6.138,1,0.0458,0.342,0,0.186,0.273,95.995,audio_features,17Efhyf4A96n0EFXKeB7Ya,spotify:track:17Efhyf4A96n0EFXKeB7Ya,https://api.spotify.com/v1/tracks/17Efhyf4A96n0EFXKeB7Ya,https://api.spotify.com/v1/audio-analysis/17Efhyf4A96n0EFXKeB7Ya,230000,4
La Bomba,0.923,0.768,1,-7.321,1,0.0674,0.119,0,0.0689,0.96,94.013,audio_features,0Tl84qfow6Dv0PM60zoBhb,spotify:track:0Tl84qfow6Dv0PM60zoBhb,https://api.spotify.com/v1/tracks/0Tl84qfow6Dv0PM60zoBhb,https://api.spotify.com/v1/audio-analysis/0Tl84qfow6Dv0PM60zoBhb,123960,4
