,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Gasoline,2020-05-12 08:49,Halsey,Gasoline,199593,2020-05-12 08:49:00,0.731,0.58,10,-7.328,0,0.0399,0.223,0.0,0.129,0.319,120.001,audio_features,2IO7yf562c1zLzpanal1DT,spotify:track:2IO7yf562c1zLzpanal1DT,https://api.spotify.com/v1/tracks/2IO7yf562c1zLzpanal1DT,https://api.spotify.com/v1/audio-analysis/2IO7yf562c1zLzpanal1DT,199593,4
1,IDGAF,2020-05-24 15:36,Dua Lipa,IDGAF,150004,2020-05-24 15:36:00,0.782,0.728,5,-5.93,1,0.0768,0.427,0.0,0.25,0.876,97.975,audio_features,4ZUpTMKPYFTfJqamWFU9Zv,spotify:track:4ZUpTMKPYFTfJqamWFU9Zv,https://api.spotify.com/v1/tracks/4ZUpTMKPYFTfJqamWFU9Zv,https://api.spotify.com/v1/audio-analysis/4ZUpTMKPYFTfJqamWFU9Zv,140667,4
2,IDGAF,2020-05-28 09:21,Dua Lipa,IDGAF,213981,2020-05-28 09:21:00,0.782,0.728,5,-5.93,1,0.0768,0.427,0.0,0.25,0.876,97.975,audio_features,4ZUpTMKPYFTfJqamWFU9Zv,spotify:track:4ZUpTMKPYFTfJqamWFU9Zv,https://api.spotify.com/v1/tracks/4ZUpTMKPYFTfJqamWFU9Zv,https://api.spotify.com/v1/audio-analysis/4ZUpTMKPYFTfJqamWFU9Zv,140667,4
3,No One Compares To You,2020-05-28 09:25,Jack & Jack,No One Compares To You,177858,2020-05-28 09:25:00,0.7,0.747,1,-6.044,1,0.0436,0.127,0.0,0.0941,0.629,111.941,audio_features,4cZ3UsiKd1kUQIaq4BFIj2,spotify:track:4cZ3UsiKd1kUQIaq4BFIj2,https://api.spotify.com/v1/tracks/4cZ3UsiKd1kUQIaq4BFIj2,https://api.spotify.com/v1/audio-analysis/4cZ3UsiKd1kUQIaq4BFIj2,182920,4
4,Big Plans,2020-05-28 09:27,Why Don't We,Big Plans,146083,2020-05-28 09:27:00,0.693,0.604,11,-5.279,1,0.0427,0.0668,0.0,0.114,0.651,75.014,audio_features,448hSkxDU1sUQQauBWZVcC,spotify:track:448hSkxDU1sUQQauBWZVcC,https://api.spotify.com/v1/tracks/448hSkxDU1sUQQauBWZVcC,https://api.spotify.com/v1/audio-analysis/448hSkxDU1sUQQauBWZVcC,179930,4
5,Big Plans,2020-05-28 13:43,Why Don't We,Big Plans,21389,2020-05-28 13:43:00,0.693,0.604,11,-5.279,1,0.0427,0.0668,0.0,0.114,0.651,75.014,audio_features,448hSkxDU1sUQQauBWZVcC,spotify:track:448hSkxDU1sUQQauBWZVcC,https://api.spotify.com/v1/tracks/448hSkxDU1sUQQauBWZVcC,https://api.spotify.com/v1/audio-analysis/448hSkxDU1sUQQauBWZVcC,179930,4
6,Ruin My Life,2020-05-28 13:50,Zara Larsson,Ruin My Life,184467,2020-05-28 13:50:00,0.665,0.699,11,-5.265,1,0.0578,0.423,0.0,0.0969,0.585,124.896,audio_features,5tAa8Uaqr4VvA3693mbIhU,spotify:track:5tAa8Uaqr4VvA3693mbIhU,https://api.spotify.com/v1/tracks/5tAa8Uaqr4VvA3693mbIhU,https://api.spotify.com/v1/audio-analysis/5tAa8Uaqr4VvA3693mbIhU,190932,4
7,Who Do You Love,2020-05-28 13:54,The Chainsmokers,Who Do You Love,206675,2020-05-28 13:54:00,0.68,0.411,9,-9.761,1,0.434,0.0336,0.0,0.0889,0.161,193.131,audio_features,7ngdkrVQPgP3AoIxUrTpHT,spotify:track:7ngdkrVQPgP3AoIxUrTpHT,https://api.spotify.com/v1/tracks/7ngdkrVQPgP3AoIxUrTpHT,https://api.spotify.com/v1/audio-analysis/7ngdkrVQPgP3AoIxUrTpHT,233515,4
8,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2020-05-28 13:56,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",149984,2020-05-28 13:56:00,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,audio_features,5Gu0PDLN4YJeW75PpBSg9p,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/tracks/5Gu0PDLN4YJeW75PpBSg9p,https://api.spotify.com/v1/audio-analysis/5Gu0PDLN4YJeW75PpBSg9p,174800,4
9,Unbelievable,2020-05-28 13:59,Why Don't We,Unbelievable,178396,2020-05-28 13:59:00,0.553,0.906,11,-4.311,1,0.0452,0.014,0.0,0.336,0.468,105.027,audio_features,2Y2nV089OQhsGTz2xdlvDb,spotify:track:2Y2nV089OQhsGTz2xdlvDb,https://api.spotify.com/v1/tracks/2Y2nV089OQhsGTz2xdlvDb,https://api.spotify.com/v1/audio-analysis/2Y2nV089OQhsGTz2xdlvDb,189355,4
10,"fuck, i'm lonely (with Anne-Marie)",2020-05-28 14:02,Lauv,"fuck, i'm lonely (with Anne-Marie)",190612,2020-05-28 14:02:00,0.805,0.558,9,-6.46,1,0.0648,0.482,0.0,0.0618,0.68,94.997,audio_features,7elRvorDP9KEOHIisFgrJG,spotify:track:7elRvorDP9KEOHIisFgrJG,https://api.spotify.com/v1/tracks/7elRvorDP9KEOHIisFgrJG,https://api.spotify.com/v1/audio-analysis/7elRvorDP9KEOHIisFgrJG,198973,4
11,Polaroid,2020-05-28 14:17,Jonas Blue,Polaroid,162184,2020-05-28 14:17:00,0.423,0.603,1,-6.832,1,0.0494,0.516,1.86e-06,0.238,0.258,155.207,audio_features,6Ng999MKVY9ikd8FtGaNnz,spotify:track:6Ng999MKVY9ikd8FtGaNnz,https://api.spotify.com/v1/tracks/6Ng999MKVY9ikd8FtGaNnz,https://api.spotify.com/v1/audio-analysis/6Ng999MKVY9ikd8FtGaNnz,230013,4
